100.0
100
77.39,75.8
4.36,91.89
72.53,96.16
8.48,99.03
1.41,22.1
59.36,79.77
91.8,27.52
64.91,98.92
8.64,73.24
22.42,37.13
23.22,92.71
68.34,63.2
26.16,13.05
39.64,15.62
54.23,14.32
60.04,58.63
16.71,89.93
0.06,70.79
87.49,21.56
11.24,57.35
75.95,22.82
1.56,51.75
2.04,38.05
1.88,85.8
78.21,4.66
71.1,63.77
45.15,0.59
1.71,70.9
16.51,2.01
16.58,83.71
63.15,70.6
93.21,26.16
7.48,74.77
11.87,33.66
4.36,24.34
0.66,45.19
56.91,64.75
42.32,42.51
52.41,33.24
14.99,95.29
6.63,26.92
62.54,50.88
73.14,70.83
28.66,28.58
8.42,2.26
43.31,39.2
83.18,7.43
20.24,53.4
95.66,55.9
9.85,84.24
73.6,79.0
52.98,33.42
48.39,29.51
98.09,73.97
46.61,41.48
76.83,7.1
72.59,81.69
81.1,36.01
48.7,46.93
48.53,45.09
39.19,15.18
42.62,59.64
8.35,2.8
8.98,88.1
53.74,14.79
99.48,16.44
11.52,0.7
82.57,32.88
52.26,44.78
0.07,9.7
73.02,25.88
87.73,58.83
44.05,79.64
50.72,7.68
87.24,83.97
73.3,12.87
47.22,66.96
46.87,40.68
66.07,5.99
20.11,95.09
87.48,46.33
11.13,67.2
97.58,18.31
72.2,12.81
56.08,73.06
65.1,39.07
83.36,88.59
87.21,95.6
47.48,20.48
86.89,20.7
37.91,84.2
20.29,88.87
22.49,59.84
31.29,42.64
58.25,4.41
81.07,68.51
67.59,41.33
14.69,94.34
96.85,72.66
28.14,44.36
